제품ID,제품명,카테고리,현재고,재주문기준,최대재고,원가,판매가,공급업체,최근입고일,30일판매량,30일매출,재고상태
INV001,에몽 퀸 침대,침대,45,20,100,1120000,1890000,일룸직영공장,2025-06-10,67,126630000,정상
INV002,에몽 킹 침대,침대,15,25,75,1360000,2290000,일룸직영공장,2025-06-08,52,119080000,재고부족
INV003,에몽 슈퍼싱글,침대,32,15,50,940000,1590000,일룸직영공장,2025-06-26,43,68370000,정상
INV004,이모션 퀸,침대,8,10,30,1000000,1690000,일룸직영공장,2025-05-27,35,59150000,재고부족
INV005,이모션 킹,침대,22,5,25,1180000,1990000,일룸직영공장,2025-06-05,28,55720000,정상
INV006,이모션 슈퍼싱글,침대,67,30,100,880000,1490000,일룸직영공장,2025-06-22,45,67050000,정상
INV007,로넨 1200 책상,책상,3,15,60,530000,890000,일룸직영공장,2025-06-07,78,69420000,긴급
INV008,로넨 1400 책상,책상,28,20,80,590000,990000,일룸직영공장,2025-06-17,34,33660000,정상
INV009,링키 학생책상,책상,12,8,35,350000,590000,일룸직영공장,2025-06-30,56,33040000,정상
INV010,링키 1200 책상,책상,89,40,150,410000,690000,일룸직영공장,2025-06-25,42,28980000,정상
INV011,쿠티 벙커침대,아이방,6,12,40,1300000,2190000,일룸직영공장,2025-05-07,34,74460000,재고부족
INV012,쿠티 키즈침대,아이방,25,8,30,760000,1290000,일룸직영공장,2025-05-21,28,36120000,정상
INV013,아이샘 책상,아이방,145,50,200,290000,490000,일룸직영공장,2025-06-04,67,32830000,정상
INV014,아이샘 책장,아이방,34,15,60,230000,390000,일룸직영공장,2025-05-26,45,17550000,정상
INV015,샘 3단 책장,서재,2,10,25,350000,590000,일룸직영공장,2025-05-10,38,22420000,긴급
INV016,샘 5단 책장,서재,78,25,100,470000,790000,일룸직영공장,2025-06-12,52,41080000,정상
INV017,샘 6단 책장,서재,124,40,180,530000,890000,일룸직영공장,2025-06-06,34,30260000,정상
INV018,로엘 와이드 서랍장,서재,45,20,80,410000,690000,일룸직영공장,2025-05-05,28,19320000,정상
INV019,로엘 협탁,서재,19,15,50,170000,290000,일룸직영공장,2025-05-28,56,16240000,정상
INV020,프롬 소파베드,소파,0,30,120,940000,1590000,일룸직영공장,2025-06-02,42,66780000,품절
INV021,프롬 3인 소파,소파,67,25,100,760000,1290000,일룸직영공장,2025-05-02,38,49020000,정상
INV022,시디즈 T50,의자,43,20,75,350000,590000,시디즈,2025-05-01,89,52510000,정상
INV023,시디즈 T80,의자,234,100,400,470000,790000,시디즈,2025-05-28,156,123240000,정상
INV024,시디즈 링고,의자,56,30,120,230000,390000,시디즈,2025-05-31,78,30420000,정상
INV025,에몽 매트리스 퀸,침구,4,8,20,590000,990000,일룸직영공장,2025-06-02,24,23760000,재고부족
INV026,에몽 매트리스 킹,침구,18,10,30,700000,1190000,일룸직영공장,2025-06-15,18,21420000,정상
INV027,이모션 매트리스,침구,42,25,80,530000,890000,일룸직영공장,2025-06-20,28,24920000,정상
INV028,프롬 쿠션세트,소파,5,15,50,110000,190000,일룸직영공장,2025-06-01,56,10640000,긴급
INV029,링키 책장,아이방,35,15,50,290000,490000,일룸직영공장,2025-06-18,34,16660000,정상
INV030,로넨 서랍장,책상,12,5,20,350000,590000,일룸직영공장,2025-05-15,18,10620000,정상
INV031,샘 데스크,서재,88,35,120,410000,690000,일룸직영공장,2025-06-10,45,31050000,정상
INV032,에몽 협탁,침대,23,20,60,170000,290000,일룸직영공장,2025-06-05,67,19430000,정상
INV033,쿠티 옷장,아이방,0,20,80,530000,890000,일룸직영공장,2025-05-20,28,24920000,품절
INV034,아이샘 수납장,아이방,120,50,200,230000,390000,일룸직영공장,2025-06-25,56,21840000,정상
INV035,이모션 협탁,침대,8,15,40,170000,290000,일룸직영공장,2025-05-28,34,9860000,재고부족
INV036,프롬 스툴,소파,3,10,30,170000,290000,일룸직영공장,2025-06-10,42,12180000,긴급
INV037,샘 화장대,서재,45,30,100,350000,590000,일룸직영공장,2025-06-08,23,13570000,정상
INV038,로엘 거울,서재,67,25,100,110000,190000,일룸직영공장,2025-05-30,38,7220000,정상
INV039,링키 거치대,책상,38,20,60,47000,79000,일룸직영공장,2025-06-12,89,7031000,정상
INV040,쿠티 책상매트,아이방,15,20,50,35000,59000,일룸직영공장,2025-06-01,78,4602000,재고부족
